idx,start_epoch_s,end_epoch_s,dur_s,rail,energy_J,delta_energy_J,baseline_mW,prompt_chars,prompt_tokens,completion_tokens,max_tokens
0,1766937263.509989,1766937268.191869,4.681880,VIN_SYS_5V0,39.449300,19.228698,4318.907,1462,578,150,512
0,1766937263.509989,1766937268.191869,4.681880,VDD_GPU_SOC,148.547600,107.035198,8866.610,1462,578,150,512
0,1766937263.509989,1766937268.191869,4.681880,VDD_CPU_CV,1.560000,-0.075521,349.330,1462,578,150,512
1,1766937268.192290,1766937272.162149,3.969859,VIN_SYS_5V0,34.481800,17.336349,4318.907,1462,578,150,512
1,1766937268.192290,1766937272.162149,3.969859,VDD_GPU_SOC,125.608600,90.409407,8866.610,1462,578,150,512
1,1766937268.192290,1766937272.162149,3.969859,VDD_CPU_CV,1.600000,0.213209,349.330,1462,578,150,512
2,1766937272.162558,1766937274.662537,2.499979,VIN_SYS_5V0,21.964900,11.167723,4318.907,1387,503,83,512
2,1766937272.162558,1766937274.662537,2.499979,VDD_GPU_SOC,78.060200,55.893859,8866.610,1387,503,83,512
2,1766937272.162558,1766937274.662537,2.499979,VDD_CPU_CV,1.000000,0.126682,349.330,1387,503,83,512
3,1766937274.662946,1766937278.095026,3.432080,VIN_SYS_5V0,29.433100,14.610266,4318.907,1499,615,113,512
3,1766937274.662946,1766937278.095026,3.432080,VDD_GPU_SOC,104.881600,74.450683,8866.610,1499,615,113,512
3,1766937274.662946,1766937278.095026,3.432080,VDD_CPU_CV,1.360000,0.161071,349.330,1499,615,113,512
4,1766937278.095435,1766937280.453788,2.358353,VIN_SYS_5V0,20.655000,10.469492,4318.907,1350,466,75,512
4,1766937278.095435,1766937280.453788,2.358353,VDD_GPU_SOC,72.120500,51.209900,8866.610,1350,466,75,512
4,1766937278.095435,1766937280.453788,2.358353,VDD_CPU_CV,0.960000,0.136156,349.330,1350,466,75,512
5,1766937280.454195,1766937295.476362,15.022167,VIN_SYS_5V0,129.555400,64.676061,4318.907,1554,670,512,512
5,1766937280.454195,1766937295.476362,15.022167,VDD_GPU_SOC,459.746900,326.551200,8866.610,1554,670,512,512
5,1766937280.454195,1766937295.476362,15.022167,VDD_CPU_CV,5.920000,0.672306,349.330,1554,670,512,512
6,1766937295.476792,1766937310.292647,14.815855,VIN_SYS_5V0,128.853600,64.865305,4318.907,1472,578,512,512
6,1766937295.476792,1766937310.292647,14.815855,VDD_GPU_SOC,460.270000,328.903592,8866.610,1472,578,512,512
6,1766937295.476792,1766937310.292647,14.815855,VDD_CPU_CV,5.880000,0.704377,349.330,1472,578,512,512
7,1766937310.293083,1766937324.869367,14.576284,VIN_SYS_5V0,127.379800,64.426189,4318.907,1397,503,512,512
7,1766937310.293083,1766937324.869367,14.576284,VDD_GPU_SOC,453.178400,323.936173,8866.610,1397,503,512,512
7,1766937310.293083,1766937324.869367,14.576284,VDD_CPU_CV,5.840000,0.748067,349.330,1397,503,512,512
8,1766937324.869788,1766937339.705110,14.835322,VIN_SYS_5V0,130.632000,66.559629,4318.907,1509,615,512,512
8,1766937324.869788,1766937339.705110,14.835322,VDD_GPU_SOC,461.336600,329.797586,8866.610,1509,615,512,512
8,1766937324.869788,1766937339.705110,14.835322,VDD_CPU_CV,6.480100,1.297677,349.330,1509,615,512,512
9,1766937339.705561,1766937354.284689,14.579128,VIN_SYS_5V0,127.644500,64.678606,4318.907,1360,466,512,512
9,1766937339.705561,1766937354.284689,14.579128,VDD_GPU_SOC,448.133700,318.866256,8866.610,1360,466,512,512
9,1766937339.705561,1766937354.284689,14.579128,VDD_CPU_CV,5.800000,0.707073,349.330,1360,466,512,512
10,1766937354.285133,1766937369.246153,14.961020,VIN_SYS_5V0,131.919500,67.304252,4318.907,1564,670,512,512
10,1766937354.285133,1766937369.246153,14.961020,VDD_GPU_SOC,464.340600,331.687073,8866.610,1564,670,512,512
10,1766937354.285133,1766937369.246153,14.961020,VDD_CPU_CV,6.000000,0.773667,349.330,1564,670,512,512
11,1766937369.246585,1766937384.091278,14.844693,VIN_SYS_5V0,131.047200,66.934358,4318.907,1468,574,512,512
11,1766937369.246585,1766937384.091278,14.844693,VDD_GPU_SOC,460.651200,329.029099,8866.610,1468,574,512,512
11,1766937369.246585,1766937384.091278,14.844693,VDD_CPU_CV,5.920000,0.734303,349.330,1468,574,512,512
12,1766937384.091692,1766937398.648087,14.556395,VIN_SYS_5V0,129.645000,66.777289,4318.907,1393,499,512,512
12,1766937384.091692,1766937398.648087,14.556395,VDD_GPU_SOC,455.917900,326.852024,8866.610,1393,499,512,512
12,1766937384.091692,1766937398.648087,14.556395,VDD_CPU_CV,5.840000,0.755015,349.330,1393,499,512,512
13,1766937398.648503,1766937413.455693,14.807190,VIN_SYS_5V0,131.727300,67.776429,4318.907,1505,611,512,512
13,1766937398.648503,1766937413.455693,14.807190,VDD_GPU_SOC,461.652200,330.362622,8866.610,1505,611,512,512
13,1766937398.648503,1766937413.455693,14.807190,VDD_CPU_CV,6.440100,1.267504,349.330,1505,611,512,512
14,1766937413.456135,1766937428.006203,14.550069,VIN_SYS_5V0,129.920800,67.080411,4318.907,1356,462,512,512
14,1766937413.456135,1766937428.006203,14.550069,VDD_GPU_SOC,457.282300,328.272514,8866.610,1356,462,512,512
14,1766937413.456135,1766937428.006203,14.550069,VDD_CPU_CV,5.840000,0.757224,349.330,1356,462,512,512
15,1766937428.006693,1766937442.977603,14.970910,VIN_SYS_5V0,132.571600,67.913637,4318.907,1560,666,512,512
15,1766937428.006693,1766937442.977603,14.970910,VDD_GPU_SOC,463.577200,330.835979,8866.610,1560,666,512,512
15,1766937428.006693,1766937442.977603,14.970910,VDD_CPU_CV,5.960000,0.730212,349.330,1560,666,512,512
16,1766937442.978009,1766937457.762565,14.784556,VIN_SYS_5V0,131.078400,67.225284,4318.907,1462,579,512,512
16,1766937442.978009,1766937457.762565,14.784556,VDD_GPU_SOC,460.877600,329.788711,8866.610,1462,579,512,512
16,1766937442.978009,1766937457.762565,14.784556,VDD_CPU_CV,6.520000,1.355311,349.330,1462,579,512,512
17,1766937457.763003,1766937472.280925,14.517922,VIN_SYS_5V0,130.122200,67.420648,4318.907,1387,504,512,512
17,1766937457.763003,1766937472.280925,14.517922,VDD_GPU_SOC,454.888000,326.163244,8866.610,1387,504,512,512
17,1766937457.763003,1766937472.280925,14.517922,VDD_CPU_CV,6.400100,1.328554,349.330,1387,504,512,512
18,1766937472.281326,1766937487.107806,14.826481,VIN_SYS_5V0,133.821400,69.787214,4318.907,1499,616,512,512
18,1766937472.281326,1766937487.107806,14.826481,VDD_GPU_SOC,468.494400,337.033779,8866.610,1499,616,512,512
18,1766937472.281326,1766937487.107806,14.826481,VDD_CPU_CV,5.960000,0.780666,349.330,1499,616,512,512
19,1766937487.108250,1766937501.652984,14.544734,VIN_SYS_5V0,129.687400,66.870051,4318.907,1350,467,512,512
19,1766937487.108250,1766937501.652984,14.544734,VDD_GPU_SOC,452.990700,324.028216,8866.610,1350,467,512,512
19,1766937487.108250,1766937501.652984,14.544734,VDD_CPU_CV,5.800000,0.719088,349.330,1350,467,512,512
20,1766937501.653426,1766937516.602998,14.949573,VIN_SYS_5V0,133.699900,69.134091,4318.907,1554,671,512,512
20,1766937501.653426,1766937516.602998,14.949573,VDD_GPU_SOC,469.564000,337.011970,8866.610,1554,671,512,512
20,1766937501.653426,1766937516.602998,14.949573,VDD_CPU_CV,6.000000,0.777666,349.330,1554,671,512,512
21,1766937516.603460,1766937531.408382,14.804923,VIN_SYS_5V0,132.826900,68.885820,4318.907,1498,582,512,512
21,1766937516.603460,1766937531.408382,14.804923,VDD_GPU_SOC,461.642000,330.372523,8866.610,1498,582,512,512
21,1766937516.603460,1766937531.408382,14.804923,VDD_CPU_CV,6.560200,1.388396,349.330,1498,582,512,512
22,1766937531.408780,1766937545.974702,14.565922,VIN_SYS_5V0,130.335700,67.426842,4318.907,1423,507,512,512
22,1766937531.408780,1766937545.974702,14.565922,VDD_GPU_SOC,454.534500,325.384150,8866.610,1423,507,512,512
22,1766937531.408780,1766937545.974702,14.565922,VDD_CPU_CV,6.400000,1.311686,349.330,1423,507,512,512
23,1766937545.975352,1766937560.803549,14.828197,VIN_SYS_5V0,133.913900,69.872299,4318.907,1535,619,512,512
23,1766937545.975352,1766937560.803549,14.828197,VDD_GPU_SOC,470.129400,338.653556,8866.610,1535,619,512,512
23,1766937545.975352,1766937560.803549,14.828197,VDD_CPU_CV,5.960000,0.780066,349.330,1535,619,512,512
24,1766937560.803968,1766937575.348996,14.545028,VIN_SYS_5V0,130.072100,67.253480,4318.907,1386,470,512,512
24,1766937560.803968,1766937575.348996,14.545028,VDD_GPU_SOC,455.987000,327.021905,8866.610,1386,470,512,512
24,1766937560.803968,1766937575.348996,14.545028,VDD_CPU_CV,5.800000,0.718985,349.330,1386,470,512,512
25,1766937575.349397,1766937590.308785,14.959388,VIN_SYS_5V0,135.265300,70.657101,4318.907,1590,674,512,512
25,1766937575.349397,1766937590.308785,14.959388,VDD_GPU_SOC,469.456800,336.817745,8866.610,1590,674,512,512
25,1766937575.349397,1766937590.308785,14.959388,VDD_CPU_CV,6.640000,1.414237,349.330,1590,674,512,512
26,1766937590.309243,1766937605.095504,14.786261,VIN_SYS_5V0,132.673300,68.812819,4318.907,1488,580,512,512
26,1766937590.309243,1766937605.095504,14.786261,VDD_GPU_SOC,460.558700,329.454692,8866.610,1488,580,512,512
26,1766937590.309243,1766937605.095504,14.786261,VDD_CPU_CV,6.480000,1.314715,349.330,1488,580,512,512
27,1766937605.095759,1766937619.640776,14.545017,VIN_SYS_5V0,131.188800,68.370229,4318.907,1413,505,512,512
27,1766937605.095759,1766937619.640776,14.545017,VDD_GPU_SOC,456.684500,327.719507,8866.610,1413,505,512,512
27,1766937605.095759,1766937619.640776,14.545017,VDD_CPU_CV,5.840000,0.758989,349.330,1413,505,512,512
28,1766937619.641215,1766937634.481013,14.839797,VIN_SYS_5V0,134.004300,69.912600,4318.907,1525,617,512,512
28,1766937619.641215,1766937634.481013,14.839797,VDD_GPU_SOC,467.643500,336.064803,8866.610,1525,617,512,512
28,1766937619.641215,1766937634.481013,14.839797,VDD_CPU_CV,5.920000,0.736014,349.330,1525,617,512,512
29,1766937634.481436,1766937649.047674,14.566238,VIN_SYS_5V0,132.085200,69.174979,4318.907,1376,468,512,512
29,1766937634.481436,1766937649.047674,14.566238,VDD_GPU_SOC,459.879900,330.726751,8866.610,1376,468,512,512
29,1766937634.481436,1766937649.047674,14.566238,VDD_CPU_CV,6.480000,1.391576,349.330,1376,468,512,512
30,1766937649.048123,1766937664.003533,14.955410,VIN_SYS_5V0,135.606400,71.015379,4318.907,1580,672,512,512
30,1766937649.048123,1766937664.003533,14.955410,VDD_GPU_SOC,471.239900,338.636110,8866.610,1580,672,512,512
30,1766937649.048123,1766937664.003533,14.955410,VDD_CPU_CV,6.600000,1.375627,349.330,1580,672,512,512
31,1766937664.003961,1766937678.800121,14.796160,VIN_SYS_5V0,133.766000,69.862767,4318.907,1488,586,512,512
31,1766937664.003961,1766937678.800121,14.796160,VDD_GPU_SOC,465.801100,334.609322,8866.610,1488,586,512,512
31,1766937664.003961,1766937678.800121,14.796160,VDD_CPU_CV,5.920000,0.751258,349.330,1488,586,512,512
32,1766937678.800553,1766937693.332830,14.532277,VIN_SYS_5V0,131.101000,68.337453,4318.907,1413,511,512,512
32,1766937678.800553,1766937693.332830,14.532277,VDD_GPU_SOC,454.556600,325.704569,8866.610,1413,511,512,512
32,1766937678.800553,1766937693.332830,14.532277,VDD_CPU_CV,5.800000,0.723440,349.330,1413,511,512,512
33,1766937693.333275,1766937708.147985,14.814710,VIN_SYS_5V0,133.489000,69.505651,4318.907,1525,623,512,512
33,1766937693.333275,1766937708.147985,14.814710,VDD_GPU_SOC,464.822000,333.465745,8866.610,1525,623,512,512
33,1766937693.333275,1766937708.147985,14.814710,VDD_CPU_CV,6.480000,1.304777,349.330,1525,623,512,512
34,1766937708.148399,1766937722.686901,14.538502,VIN_SYS_5V0,112.908800,50.118366,4318.907,1376,474,512,512
34,1766937708.148399,1766937722.686901,14.538502,VDD_GPU_SOC,353.037400,224.130171,8866.610,1376,474,512,512
34,1766937708.148399,1766937722.686901,14.538502,VDD_CPU_CV,7.357500,2.278765,349.330,1376,474,512,512
35,1766937722.687315,1766937737.685983,14.998669,VIN_SYS_5V0,1.716800,-63.061050,4318.907,1580,678,512,512
35,1766937722.687315,1766937737.685983,14.998669,VDD_GPU_SOC,1.199500,-131.787846,8866.610,1580,678,512,512
35,1766937722.687315,1766937737.685983,14.998669,VDD_CPU_CV,0.199500,-5.039985,349.330,1580,678,512,512
36,1766937737.686395,1766937752.480095,14.793700,VIN_SYS_5V0,0.000000,-63.892608,4318.907,1490,580,512,512
36,1766937737.686395,1766937752.480095,14.793700,VDD_GPU_SOC,0.000000,-131.169966,8866.610,1490,580,512,512
36,1766937737.686395,1766937752.480095,14.793700,VDD_CPU_CV,0.000000,-5.167883,349.330,1490,580,512,512
37,1766937752.480518,1766937767.029041,14.548524,VIN_SYS_5V0,0.000000,-62.833716,4318.907,1415,505,512,512
37,1766937752.480518,1766937767.029041,14.548524,VDD_GPU_SOC,0.000000,-128.996085,8866.610,1415,505,512,512
37,1766937752.480518,1766937767.029041,14.548524,VDD_CPU_CV,0.000000,-5.082236,349.330,1415,505,512,512
38,1766937767.029479,1766937781.825050,14.795571,VIN_SYS_5V0,0.000000,-63.900692,4318.907,1527,617,512,512
38,1766937767.029479,1766937781.825050,14.795571,VDD_GPU_SOC,0.000000,-131.186561,8866.610,1527,617,512,512
38,1766937767.029479,1766937781.825050,14.795571,VDD_CPU_CV,0.000000,-5.168537,349.330,1527,617,512,512
39,1766937781.825292,1766937796.377810,14.552518,VIN_SYS_5V0,0.000000,-62.850968,4318.907,1378,468,512,512
39,1766937781.825292,1766937796.377810,14.552518,VDD_GPU_SOC,0.000000,-129.031503,8866.610,1378,468,512,512
39,1766937781.825292,1766937796.377810,14.552518,VDD_CPU_CV,0.000000,-5.083631,349.330,1378,468,512,512
40,1766937796.378041,1766937811.321149,14.943109,VIN_SYS_5V0,0.000000,-64.537892,4318.907,1582,672,512,512
40,1766937796.378041,1766937811.321149,14.943109,VDD_GPU_SOC,0.000000,-132.494718,8866.610,1582,672,512,512
40,1766937796.378041,1766937811.321149,14.943109,VDD_CPU_CV,0.000000,-5.220076,349.330,1582,672,512,512
